date,truck_location,marketing_channel,customers,avg_order_value,total_sales,repeat_customers,weather
2025-01-01,Downtown,Instagram,23,14.44,332.12,3,Sunny
2025-01-01,Downtown,Food Delivery Apps,3,17.07,51.21,1,Rainy
2025-01-01,Downtown,Local Events,17,11.11,188.87,3,Sunny
2025-01-01,Downtown,Google My Business,12,11.1,133.2,2,Sunny
2025-01-01,Downtown,Loyalty Program,30,9.78,293.4,8,Sunny
2025-01-01,Downtown,Influencer Partnerships,31,8.26,256.06,9,Rainy
2025-01-01,Downtown,Email Newsletter,23,9.05,208.15,2,Sunny
2025-01-01,Uptown,Instagram,28,13.63,381.64,3,Cloudy
2025-01-01,Uptown,Food Delivery Apps,4,11.81,47.24,1,Sunny
2025-01-01,Uptown,Local Events,10,13.67,136.7,1,Sunny
2025-01-01,Uptown,Google My Business,4,8.06,32.24,1,Rainy
2025-01-01,Uptown,Loyalty Program,22,10.34,227.48,6,Sunny
2025-01-01,Uptown,Influencer Partnerships,16,10.47,167.52,1,Sunny
2025-01-01,Uptown,Email Newsletter,32,14.34,458.88,12,Rainy
2025-01-01,Midtown,Instagram,31,9.98,309.38,13,Rainy
2025-01-01,Midtown,Food Delivery Apps,20,11.57,231.4,2,Sunny
2025-01-01,Midtown,Local Events,16,14.94,239.04,7,Rainy
2025-01-01,Midtown,Google My Business,13,16.57,215.41,5,Sunny
2025-01-01,Midtown,Loyalty Program,33,12.39,408.87,10,Sunny
2025-01-01,Midtown,Influencer Partnerships,26,17.19,446.94,3,Cloudy
2025-01-01,Midtown,Email Newsletter,13,11.84,153.92,3,Cloudy
2025-01-01,Suburbia,Instagram,10,13.57,135.7,4,Sunny
2025-01-01,Suburbia,Food Delivery Apps,30,11.57,347.1,4,Cloudy
2025-01-01,Suburbia,Local Events,5,14.52,72.6,1,Sunny
2025-01-01,Suburbia,Google My Business,13,13.86,180.18,2,Sunny
2025-01-01,Suburbia,Loyalty Program,16,12.0,192.0,3,Cloudy
2025-01-01,Suburbia,Influencer Partnerships,20,9.28,185.6,2,Cloudy
2025-01-01,Suburbia,Email Newsletter,32,9.52,304.64,3,Sunny
2025-01-01,Riverside,Instagram,24,13.52,324.48,4,Cloudy
2025-01-01,Riverside,Food Delivery Apps,24,12.48,299.52,4,Sunny
2025-01-01,Riverside,Local Events,20,16.72,334.4,6,Sunny
2025-01-01,Riverside,Google My Business,19,16.68,316.92,2,Cloudy
2025-01-01,Riverside,Loyalty Program,26,12.53,325.78,4,Rainy
2025-01-01,Riverside,Influencer Partnerships,18,11.4,205.2,6,Rainy
2025-01-01,Riverside,Email Newsletter,10,11.34,113.4,1,Rainy
2025-01-02,Downtown,Instagram,8,9.84,78.72,3,Sunny
2025-01-02,Downtown,Food Delivery Apps,34,8.79,298.86,13,Sunny
2025-01-02,Downtown,Local Events,34,8.54,290.36,4,Cloudy
2025-01-02,Downtown,Google My Business,3,13.38,40.14,0,Sunny
2025-01-02,Downtown,Loyalty Program,9,10.36,93.24,3,Cloudy
2025-01-02,Downtown,Influencer Partnerships,15,11.76,176.4,3,Cloudy
2025-01-02,Downtown,Email Newsletter,23,10.24,235.52,8,Cloudy
2025-01-02,Uptown,Instagram,13,11.71,152.23,2,Cloudy
2025-01-02,Uptown,Food Delivery Apps,19,20.66,392.54,2,Sunny
2025-01-02,Uptown,Local Events,28,11.83,331.24,2,Cloudy
2025-01-02,Uptown,Google My Business,36,14.64,527.04,17,Rainy
2025-01-02,Uptown,Loyalty Program,22,11.16,245.52,3,Sunny
2025-01-02,Uptown,Influencer Partnerships,27,15.07,406.89,3,Rainy
2025-01-02,Uptown,Email Newsletter,6,13.57,81.42,2,Rainy
2025-01-02,Midtown,Instagram,31,14.18,439.58,6,Sunny
2025-01-02,Midtown,Food Delivery Apps,10,14.21,142.1,3,Cloudy
2025-01-02,Midtown,Local Events,15,15.91,238.65,2,Cloudy
2025-01-02,Midtown,Google My Business,26,19.44,505.44,5,Rainy
2025-01-02,Midtown,Loyalty Program,23,6.9,158.7,2,Sunny
2025-01-02,Midtown,Influencer Partnerships,31,12.69,393.39,12,Cloudy
2025-01-02,Midtown,Email Newsletter,24,9.27,222.48,3,Sunny
2025-01-02,Suburbia,Instagram,12,6.42,77.04,5,Sunny
2025-01-02,Suburbia,Food Delivery Apps,26,13.06,339.56,3,Cloudy
2025-01-02,Suburbia,Local Events,16,11.08,177.28,5,Cloudy
2025-01-02,Suburbia,Google My Business,10,10.54,105.4,1,Sunny
2025-01-02,Suburbia,Loyalty Program,16,11.79,188.64,2,Rainy
2025-01-02,Suburbia,Influencer Partnerships,15,18.12,271.8,2,Sunny
2025-01-02,Suburbia,Email Newsletter,24,17.13,411.12,2,Cloudy
2025-01-02,Riverside,Instagram,15,16.47,247.05,4,Rainy
2025-01-02,Riverside,Food Delivery Apps,24,11.89,285.36,8,Sunny
2025-01-02,Riverside,Local Events,20,12.68,253.6,5,Sunny
2025-01-02,Riverside,Google My Business,13,14.56,189.28,3,Rainy
2025-01-02,Riverside,Loyalty Program,17,12.71,216.07,2,Rainy
2025-01-02,Riverside,Influencer Partnerships,15,15.15,227.25,1,Rainy
2025-01-02,Riverside,Email Newsletter,28,11.11,311.08,4,Cloudy
2025-01-03,Downtown,Instagram,26,13.59,353.34,10,Cloudy
2025-01-03,Downtown,Food Delivery Apps,13,14.24,185.12,5,Sunny
2025-01-03,Downtown,Local Events,15,11.78,176.7,1,Rainy
2025-01-03,Downtown,Google My Business,27,15.06,406.62,6,Sunny
2025-01-03,Downtown,Loyalty Program,30,7.12,213.6,6,Sunny
2025-01-03,Downtown,Influencer Partnerships,8,11.16,89.28,3,Sunny
2025-01-03,Downtown,Email Newsletter,23,13.74,316.02,7,Sunny
2025-01-03,Uptown,Instagram,22,10.81,237.82,8,Rainy
2025-01-03,Uptown,Food Delivery Apps,21,8.16,171.36,8,Rainy
2025-01-03,Uptown,Local Events,9,8.28,74.52,2,Cloudy
2025-01-03,Uptown,Google My Business,8,13.47,107.76,3,Rainy
2025-01-03,Uptown,Loyalty Program,17,10.02,170.34,7,Rainy
2025-01-03,Uptown,Influencer Partnerships,23,16.85,387.55,6,Rainy
2025-01-03,Uptown,Email Newsletter,4,15.38,61.52,1,Rainy
2025-01-03,Midtown,Instagram,36,8.14,293.04,6,Sunny
2025-01-03,Midtown,Food Delivery Apps,25,14.85,371.25,8,Rainy
2025-01-03,Midtown,Local Events,30,14.21,426.3,4,Cloudy
2025-01-03,Midtown,Google My Business,41,15.41,631.81,14,Rainy
2025-01-03,Midtown,Loyalty Program,14,12.28,171.92,5,Sunny
2025-01-03,Midtown,Influencer Partnerships,15,11.65,174.75,7,Cloudy
2025-01-03,Midtown,Email Newsletter,10,12.17,121.7,4,Cloudy
2025-01-03,Suburbia,Instagram,9,12.33,110.97,4,Rainy
2025-01-03,Suburbia,Food Delivery Apps,30,15.68,470.4,7,Cloudy
2025-01-03,Suburbia,Local Events,14,17.12,239.68,4,Sunny
2025-01-03,Suburbia,Google My Business,25,13.01,325.25,8,Sunny
2025-01-03,Suburbia,Loyalty Program,32,15.96,510.72,4,Cloudy
2025-01-03,Suburbia,Influencer Partnerships,27,11.2,302.4,2,Rainy
2025-01-03,Suburbia,Email Newsletter,22,11.47,252.34,5,Sunny
2025-01-03,Riverside,Instagram,13,12.48,162.24,3,Cloudy
2025-01-03,Riverside,Food Delivery Apps,31,13.71,425.01,4,Sunny
2025-01-03,Riverside,Local Events,16,9.2,147.2,3,Rainy
2025-01-03,Riverside,Google My Business,5,13.96,69.8,0,Rainy
2025-01-03,Riverside,Loyalty Program,12,8.2,98.4,2,Cloudy
2025-01-03,Riverside,Influencer Partnerships,5,11.93,59.65,2,Sunny
2025-01-03,Riverside,Email Newsletter,23,15.05,346.15,9,Cloudy
2025-01-04,Downtown,Instagram,8,10.64,85.12,1,Sunny
2025-01-04,Downtown,Food Delivery Apps,12,10.62,127.44,4,Rainy
2025-01-04,Downtown,Local Events,6,5.92,35.52,1,Sunny
2025-01-04,Downtown,Google My Business,28,10.23,286.44,3,Cloudy
2025-01-04,Downtown,Loyalty Program,7,8.23,57.61,2,Rainy
2025-01-04,Downtown,Influencer Partnerships,20,17.07,341.4,5,Sunny
2025-01-04,Downtown,Email Newsletter,9,14.12,127.08,1,Rainy
2025-01-04,Uptown,Instagram,16,10.72,171.52,2,Rainy
2025-01-04,Uptown,Food Delivery Apps,15,9.91,148.65,4,Cloudy
2025-01-04,Uptown,Local Events,14,10.77,150.78,2,Rainy
2025-01-04,Uptown,Google My Business,19,14.77,280.63,4,Sunny
2025-01-04,Uptown,Loyalty Program,26,10.21,265.46,7,Rainy
2025-01-04,Uptown,Influencer Partnerships,23,7.09,163.07,7,Sunny
2025-01-04,Uptown,Email Newsletter,24,12.3,295.2,7,Cloudy
2025-01-04,Midtown,Instagram,8,8.87,70.96,1,Rainy
2025-01-04,Midtown,Food Delivery Apps,22,15.01,330.22,8,Cloudy
2025-01-04,Midtown,Local Events,20,9.11,182.2,5,Rainy
2025-01-04,Midtown,Google My Business,17,13.61,231.37,8,Sunny
2025-01-04,Midtown,Loyalty Program,8,10.69,85.52,3,Sunny
2025-01-04,Midtown,Influencer Partnerships,6,14.13,84.78,1,Cloudy
2025-01-04,Midtown,Email Newsletter,7,15.6,109.2,2,Rainy
2025-01-04,Suburbia,Instagram,22,11.78,259.16,6,Sunny
2025-01-04,Suburbia,Food Delivery Apps,31,14.97,464.07,4,Sunny
2025-01-04,Suburbia,Local Events,7,11.04,77.28,1,Sunny
2025-01-04,Suburbia,Google My Business,23,13.71,315.33,2,Rainy
2025-01-04,Suburbia,Loyalty Program,7,16.36,114.52,1,Sunny
2025-01-04,Suburbia,Influencer Partnerships,8,11.17,89.36,3,Sunny
2025-01-04,Suburbia,Email Newsletter,16,14.46,231.36,2,Sunny
2025-01-04,Riverside,Instagram,22,12.33,271.26,7,Sunny
